song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language
SP0001,Space executive series.,Sydney Clark,What.,Electronic,1997-11-08,282,42,35055874,English
SP0002,Price last painting.,Connor Peters DDS,Nature politics.,Electronic,2015-05-10,127,50,9249527,English
SP0003,Power industry your.,Zachary Simpson,Behavior evening.,Hip-Hop,2022-08-15,214,86,34732016,English
SP0004,Food animal second.,Christopher Mcgee,Front.,Pop,2023-03-05,273,63,96649372,English
SP0005,Each leg.,Joshua Santos,Determine.,Hip-Hop,1996-03-16,336,49,88337653,Japanese
SP0006,Person then enjoy.,Leonard Brown,Sense lot.,Hip-Hop,2017-08-14,237,9,95988275,English
SP0007,East husband.,Susan Harrell,List item.,Electronic,2016-12-06,216,2,48726791,English
SP0008,Mother building well.,Shannon Moore,Process if.,Electronic,2002-11-12,161,81,77988216,English
SP0009,Pattern personal tree.,Kenneth Lee,Police customer.,R&B,2003-08-01,345,88,32428546,English
SP0010,Possible whatever continue special.,George Thomas,We summer.,Folk,2008-09-05,131,73,73155234,English
SP0011,Various director cell.,Richard Edwards,Doctor.,Hip-Hop,2004-06-01,237,29,40215039,English
SP0012,Season available lot.,Diane Hall,Project and.,Jazz,2011-02-05,231,83,82785276,English
SP0013,Along new.,Victoria Morris,With small.,Electronic,2009-06-30,230,58,21609743,English
SP0014,Large stock buy oil.,Holly Mitchell,Management artist.,Electronic,2010-03-24,280,85,90028790,English
SP0015,Computer professor score.,Rachel Hernandez,Major ahead.,Classical,1996-07-06,129,57,81831229,Spanish
SP0016,Site difference.,Natalie Silva,Exist game.,Pop,2010-06-14,314,88,30447360,English
SP0017,Country real.,Kimberly Bernard,Success investment.,Pop,1996-10-03,173,94,98263763,Japanese
SP0018,Friend material rather.,Joshua Petty,Across.,Hip-Hop,2021-12-30,293,63,27983825,English
SP0019,Matter class specific.,Suzanne Singh,Leave.,Hip-Hop,2014-11-15,256,42,97729744,English
SP0020,Not start.,Alison Douglas,Trip international.,Electronic,2023-06-18,173,80,429348,English
SP0021,Consumer.,Patrick Bass,Again.,Pop,2016-02-08,273,43,88413255,English
SP0022,Successful.,Candace Conley,Response.,Pop,1998-05-01,312,36,50013515,English
SP0023,Boy red.,Jennifer Matthews,Year hard.,Jazz,2012-07-12,186,38,70985364,English
SP0024,Meeting summer else.,Sylvia Wagner MD,Chair.,Electronic,1995-03-02,271,90,83124231,English
SP0025,Take gas.,Samantha Smith,Eight join.,Jazz,2024-05-21,274,14,73417622,English
SP0026,Would director good.,Kimberly Stephenson,School.,R&B,2011-09-01,323,80,95176650,English
SP0027,Edge yes.,Mr. Thomas Mullins PhD,Determine.,Country,2008-11-24,188,75,75780954,German
SP0028,Beautiful success along.,Nicole Clark,Third wonder.,Hip-Hop,2000-07-02,211,82,90437409,English
SP0029,Fact cell wall tend.,Nicole Dunn,Film peace.,Jazz,2012-11-28,288,72,72331654,English
SP0030,Get.,Tracey Nichols,Draw war.,Hip-Hop,1996-04-22,184,60,17692432,Korean
SP0031,Cultural still building.,Brandon Watson,Next describe.,Electronic,2019-06-18,194,95,61091790,German
SP0032,Attack office.,Sandra Cabrera,Glass tell.,Hip-Hop,2021-06-12,201,39,6393734,English
SP0033,Partner generation weight.,Harold Long,Health parent.,Folk,2009-01-29,246,76,1329243,English
SP0034,News candidate.,Scott Hicks,Everyone.,Classical,2008-10-19,319,74,90945437,Spanish
SP0035,Live candidate believe.,Anthony Baker,Town fill.,Pop,2019-02-25,196,39,9819670,English
SP0036,Degree deal cultural.,Dustin Morris,True green.,Electronic,1998-11-13,238,30,86576441,English
SP0037,Accept quickly.,Wanda Thompson,Feel thousand.,Electronic,2007-03-16,194,44,29675027,English
SP0038,Information think.,Henry Skinner,Production.,Hip-Hop,2002-08-15,110,77,50783069,English
SP0039,Nice sign.,Patrick Wells,Opportunity base.,Hip-Hop,2023-11-09,223,43,19552905,English
SP0040,Hard too state.,Victoria Green,Vote cut.,Hip-Hop,1996-07-20,256,4,63557089,English
SP0041,By kid.,Sean Wilson,Four.,Pop,2006-08-14,150,18,26542387,English
SP0042,Nice across.,Teresa Robinson,Professional.,Hip-Hop,1995-08-07,240,42,11528011,English
SP0043,Group economic.,Vanessa Mack,Discussion financial.,Hip-Hop,2021-07-09,252,38,35796020,Korean
SP0044,Sure around.,Daniel Glover,Himself.,Pop,2006-05-11,252,4,19221229,English
SP0045,Another lose suddenly.,Maurice Silva,Cover.,Hip-Hop,2009-06-25,267,9,60478565,Korean
SP0046,Organization leg able quite.,Timothy Smith,Hit.,Classical,2020-01-09,324,7,54901737,English
SP0047,Hit fire use.,Carol Cobb,Visit.,Jazz,2015-12-19,382,40,71634376,English
SP0048,Dream chance.,Emma Moon,Loss ability.,Electronic,1995-02-08,268,23,21637443,Spanish
SP0049,Behavior give include.,Mark Hall,Method.,Folk,1998-03-20,299,45,17378187,Spanish
SP0050,Drive through manage.,Alison Hubbard,Time occur.,Hip-Hop,1998-08-15,249,20,75772599,English
SP0051,Visit we high.,Tyler Walker,Budget check.,Electronic,2015-05-29,242,12,3591264,Spanish
SP0052,Play firm thought whom.,Felicia Singh,Travel.,Hip-Hop,2024-10-03,243,73,18399148,Korean
SP0053,Brother old include.,Janice Parker,Old.,Hip-Hop,2004-06-24,316,71,39996865,Spanish
SP0054,Produce television.,Charles Franco,Against discover.,Electronic,2020-04-18,159,58,92061269,English
SP0055,At offer.,Edward Jordan,South.,Classical,2019-06-05,223,23,13815171,Spanish
SP0056,Drop here.,William Torres,Reduce.,Electronic,2011-08-14,241,86,92470565,English
SP0057,Never area.,Jason Cherry,Picture environmental.,Pop,1997-08-02,300,54,97340958,English
SP0058,Church off impact.,Heidi Moore,Affect.,Pop,2017-03-10,347,78,49556458,English
SP0059,Industry good.,Joshua Castillo,Public interview.,Hip-Hop,2004-12-17,185,75,66059210,English
SP0060,Pass customer newspaper.,Daniel Johnson,Art big.,Hip-Hop,2019-11-29,196,31,13460853,English
SP0061,Stage hundred.,Alex Allen,Role.,Pop,2014-08-09,169,17,63733434,Spanish
SP0062,By actually lay.,Douglas Bean,Real southern.,Pop,2017-11-06,207,48,48948383,English
SP0063,Finally player return.,Angela Moss,Course.,Electronic,2011-08-10,205,75,64534817,Italian
SP0064,Must education.,Dr. Hector Nelson,Director bar.,Electronic,1999-09-10,278,24,74446691,English
SP0065,Against.,Barbara Barber,Method.,Pop,2010-05-25,235,52,95567211,English
SP0066,Growth radio.,Jack Jackson,Method.,Pop,1999-05-28,263,69,82127709,Spanish
SP0067,System determine.,Andrea Moore,Item stuff.,Hip-Hop,2023-03-28,242,28,78542431,English
SP0068,Line respond.,Michael Hester,Congress system.,Hip-Hop,2009-02-16,204,85,39434707,English
SP0069,Sell far.,Richard Valdez,Imagine until.,Hip-Hop,2014-04-18,242,76,86801946,English
SP0070,Every light how human.,Eric Baker,Past.,Pop,2014-09-27,158,100,42662587,English
SP0071,Past determine college.,Robert Mills,Wind.,Electronic,2022-12-03,280,45,73461128,English
SP0072,Establish own.,Shannon Newman,Use.,Hip-Hop,2019-01-21,94,74,75107936,English
SP0073,But these.,Stephanie Romero,Increase.,Pop,1999-01-31,220,99,81838333,French
SP0074,Protect pull.,Christopher Hill,Item.,Pop,2013-01-12,299,11,40355702,English
SP0075,Theory travel.,Jake Benton,Clearly.,Country,2009-11-27,179,66,69638071,English
SP0076,Why they.,Joseph Dudley,Wear.,Hip-Hop,2010-10-31,247,65,70582557,English
SP0077,Chance draw.,Kelly Higgins,Worry.,Jazz,2016-01-09,176,50,55253032,English
SP0078,Identify quite control.,Lori Huff,City enough.,Pop,2012-09-30,285,85,92286744,English
SP0079,Single year.,Nancy Benton,Spring.,Hip-Hop,2014-05-19,186,98,40138044,English
SP0080,Provide begin me.,Stephanie Chung,American every.,Pop,1997-12-18,259,12,16347723,English
SP0081,Determine step.,Sarah Moore,Defense.,Country,1998-03-25,261,76,60418523,English
SP0082,Modern need.,Kayla Barrett,Ability.,Hip-Hop,2006-10-01,235,47,77132457,Japanese
SP0083,Skin manage sound.,Anna Reed,Per watch.,Hip-Hop,2004-10-01,259,51,43030083,English
SP0084,Clear practice.,Nicholas Johnson,Child decision.,Electronic,2023-08-11,149,23,57256173,Korean
SP0085,Dinner various finally.,Melissa Kerr,Hair education.,Folk,2019-10-03,250,90,4516034,Japanese
SP0086,All benefit husband.,Brittany Jones,New black.,Hip-Hop,2001-12-15,247,21,97891200,Korean
SP0087,Order break family.,Christopher Warren,Hot.,Electronic,2014-09-01,136,45,97149186,Spanish
SP0088,Of involve.,Alexander Jackson,Question less.,Classical,2019-01-27,240,98,25174977,English
SP0089,Learn public account.,Brian Rogers,Require.,Hip-Hop,2010-05-04,238,67,98604815,German
SP0090,Direction standard response.,Steven Strong,Culture.,Hip-Hop,2019-08-25,274,59,53712374,German
SP0091,Professional relate throw.,Michael Bennett,Theory.,Electronic,2007-07-14,193,41,83593751,English
SP0092,Hospital skin.,Ashley Vega,Knowledge.,Pop,2015-04-03,217,88,43543378,English
SP0093,Statement carry since.,Annette Baxter,People only.,Hip-Hop,1999-06-02,129,63,1894746,English
SP0094,Grow relationship generation.,Melissa Jenkins,Begin.,Electronic,2001-02-06,231,13,10686803,French
SP0095,Mission group deal.,Brian Stewart,Space.,Classical,2017-06-18,289,69,89752744,English
SP0096,Close institution candidate.,Joel Richardson,Must natural.,Electronic,2015-08-20,205,8,15166107,English
SP0097,Nor.,Jeffery Norris,Series.,Hip-Hop,2020-03-03,258,32,4875181,English
SP0098,Pass research many much.,Kristen Padilla,Music.,Electronic,2006-03-26,359,35,33603124,English
SP0099,Report name.,Carolyn Brown,When.,Hip-Hop,2008-11-03,268,98,12518523,English
SP0100,Attorney they.,Cindy Hunt DDS,Address perhaps.,Hip-Hop,1995-07-28,275,54,35548482,Korean
SP0101,Thank.,Kayla Campos DDS,Run school.,Classical,2024-04-08,295,64,22869748,German
SP0102,Money use.,Kevin Ford,Investment near.,Hip-Hop,2009-09-21,230,66,46593516,English
SP0103,Adult.,Erin Ware,Believe experience.,Hip-Hop,2020-04-13,257,46,61229551,English
SP0104,Modern in he.,Felicia Henderson,Again figure.,Folk,2010-09-26,267,10,18547036,English
SP0105,Throughout use meet.,Jason Robbins,Mind.,Jazz,2005-09-29,258,6,95623479,English
SP0106,She him score.,Mr. Nathan Robles,Law.,Electronic,1995-11-25,201,60,41459452,English
SP0107,Make step such.,Shane Alvarez,Arrive my.,Electronic,1997-09-13,186,60,18504915,Italian
SP0108,Too military.,Matthew Davidson,Sing argue.,Pop,1999-01-07,266,20,75923930,English
SP0109,Smile quite.,Ronald Murphy,Natural interesting.,Hip-Hop,2021-02-24,240,24,46308044,English
