song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language
SP6502,Hospital address within.,Joseph Gibson,Sometimes else.,Electronic,12/8/2021,253,69,58276365,English
SP3188,Particularly popular.,Jasmine Merritt,Might.,Classical,8/4/2000,234,37,15858801,English
SP7647,Early enough relate.,James Robinson,Suffer perhaps.,Electronic,5/7/2023,317,36,15980574,English
SP1183,History meeting already.,Jon Shaffer,Science.,Electronic,26/6/2023,233,8,9151564,English
SP8497,Anything cover hot.,Andrea Lin,Imagine bill.,Pop,8/9/2001,142,78,61573115,English
SP5609,Style value.,Benjamin Wagner,Low base.,Electronic,14/10/1995,254,35,39965969,Italian
SP7481,Fire relate.,John Smith,Road.,Reggae,27/9/1996,253,15,92869278,English
SP6880,Natural yourself.,Kenneth Dougherty,Rich.,Hip-Hop,4/4/2011,195,44,5025583,French
SP6893,Against.,Steven Stewart,Rise.,Hip-Hop,24/9/2020,193,89,56854494,English
SP8271,Score fly themselves.,Tracy Zuniga,Open.,Hip-Hop,9/12/2002,233,14,31921617,Korean
SP7802,With wide.,Mr. Joseph Allen,Prove full.,Pop,2/11/2012,212,60,32918253,English
SP0243,Dinner cut.,Luis Burch,Attack receive.,Pop,21/7/2018,266,62,4677773,Korean
SP6781,Result loss.,Jerome Roberts,Beyond right.,Pop,20/8/2001,261,42,85748657,English
SP3010,Suffer discuss.,Chad Randolph,Simple.,Pop,23/11/2009,355,23,52553627,English
SP7535,Good action PM.,Brian Hall,Let little.,Hip-Hop,12/8/2010,264,7,87780384,English
SP9404,Move every wrong.,Kayla Adams,Leader.,Pop,9/3/2011,248,87,62668977,Spanish
SP2707,Nature our.,Aaron Jackson,Well.,Pop,9/10/2016,242,90,6566875,English
SP2511,Support minute her.,Aaron Roach,Member wide.,Hip-Hop,31/7/2007,256,77,62566922,English
SP5262,Maintain reach.,Zoe Mcintyre,Us.,Electronic,26/4/2004,154,3,97509800,Korean
SP8687,Leave laugh.,Dawn Thomas,Arm list.,Pop,15/5/2005,291,81,25586637,English
SP9553,Challenge development.,John James,Resource assume.,Pop,10/6/1999,256,58,1933938,English
SP3106,Dinner feel play.,Rachel Garcia,Rate try.,Hip-Hop,27/5/2007,274,22,60876629,English
SP2315,Skill position.,Albert Powell,Remain.,Pop,20/10/2009,135,14,9426636,English
SP1714,Garden social.,Edward Shaffer,Executive pay.,Jazz,20/10/2019,197,36,38876539,Spanish
SP5292,Discover action.,Craig Beck,Actually.,Pop,7/11/2012,196,8,62376350,English
SP4553,Several produce.,Madeline Roberts,Off.,Electronic,12/11/2019,199,32,43946762,English
SP4302,Join road.,Joshua Johnson,Say.,Classical,26/6/2001,264,75,31409665,English
SP4924,Example now.,Scott Juarez,Talk.,Pop,12/12/2014,292,33,60812946,Spanish
SP5263,Chair impact Mr.,Nathan Smith,Guy training.,Hip-Hop,6/3/2009,256,35,35767854,English
SP0387,Would garden street.,Gregory Stewart,According another.,Country,27/11/2017,233,81,37543873,German
SP5421,None someone thought position.,Timothy Reed Jr.,Behavior.,Electronic,25/12/1999,210,74,39271312,English
SP2245,Almost common.,Andrew Howard,Five.,Electronic,27/5/2022,282,30,47454587,Spanish
SP9260,Include song describe.,Kevin Vargas,Across sit.,Hip-Hop,27/6/1995,208,76,99848081,Spanish
SP6043,Who front.,Debbie Mccall,Stop.,Hip-Hop,11/2/2018,300,5,29728837,English
SP2865,Assume fall.,Zoe Glass,Often environmental.,Hip-Hop,6/7/2019,197,60,15690471,Italian
SP7608,Nothing be.,Mindy Wilson,Trouble.,Hip-Hop,22/9/2021,218,39,13157636,English
SP6486,Industry what impact.,Michael Gutierrez,Term color.,Hip-Hop,28/1/2006,321,71,24144867,English
SP4755,System else.,Mr. John Vasquez,West glass.,Pop,4/4/2008,235,24,36052536,Korean
SP9988,Today home.,Michael Beck,Price step.,Hip-Hop,3/2/2001,227,11,19285545,English
SP9400,Wonder choose opportunity.,Tina Mckenzie,School character.,Hip-Hop,30/3/2009,209,22,46673384,French
SP7926,With tonight draw.,Timothy Obrien,Treatment.,Hip-Hop,15/7/2022,238,68,74478606,English
SP7655,Break to.,Timothy Parker,Cultural able.,Pop,23/4/2014,211,75,7151156,English
SP3111,Before.,Robert Peterson,Threat money.,Pop,5/10/2009,275,32,36145500,English
SP1269,Increase stage population.,Kevin Gonzalez,News mean.,Pop,18/2/2009,307,92,71837427,Spanish
SP7198,What so.,Sean Jenkins,Know.,Jazz,14/11/2013,221,89,32402854,English
SP3794,Build red huge.,Cindy Long,Public tonight.,Hip-Hop,22/1/1996,290,50,77989185,English
SP0879,My born tonight.,Tracey Tyler,Drop ready.,Electronic,4/1/2019,244,27,39604000,English
SP5068,Budget space explain.,Ethan Torres,Team then.,Pop,26/7/2004,197,35,61680319,English
SP0432,Medical cup build.,Joseph Rivas,When participant.,Electronic,22/4/2001,303,99,67158595,French
SP5194,Style run head.,Karen Wilson,Serious smile.,Electronic,8/2/2005,243,78,6185546,Spanish
SP4001,A speech quickly.,Laurie Ferguson,List economy.,Hip-Hop,16/5/2012,224,23,95376809,English
SP7229,Number him value.,Nathaniel Howard,Brother.,Pop,16/4/1996,247,80,26181978,English
SP7774,Prepare per raise.,Alexis Snyder,Career.,Pop,16/12/2011,175,86,69072959,English
SP2700,Energy brother win.,Carmen Lam,College effort.,Hip-Hop,20/2/1997,249,93,38483300,English
SP2132,Economic employee.,Nicholas Palmer,Whom major.,Electronic,7/8/2020,298,41,32452219,Korean
SP6133,Physical build conference.,Cody Farmer,Teacher life.,Hip-Hop,17/11/2009,261,77,86245418,English
SP3379,Our worker item.,Jason Wright,Pressure heavy.,Pop,3/7/2017,185,53,49272347,Spanish
SP6766,Director finally indeed.,Patrick Neal,Stuff inside.,Pop,28/6/1995,260,91,84933014,English
SP0700,Finally bank during want.,Eric Nelson,Poor.,Country,31/3/2015,241,16,41546317,English
SP5063,Factor religious successful.,Timothy Cook,Line certain.,Hip-Hop,5/8/2022,256,93,66983305,Spanish
SP0733,Best water per oil.,John Davis,Company.,Electronic,3/9/2002,297,89,12296244,Italian
SP0688,Operation can bring.,Christopher Carey,Society.,Electronic,26/1/2022,257,91,80079211,English
SP3364,Western their grow.,Brent Hoffman,Identify small.,Pop,13/11/2023,239,11,96473063,English
SP3389,Significant.,Travis Bond,Down.,Hip-Hop,30/11/1999,289,23,3197016,English
SP7452,Finish resource answer available.,David Peters,Note.,Classical,13/6/1995,155,60,94483323,English
SP8678,Protect across important.,Jennifer Smith,Play.,Hip-Hop,13/4/2011,224,76,97265496,Spanish
SP2331,Determine.,Kenneth Campbell,Break two.,Hip-Hop,18/9/2010,256,21,18387278,English
SP6110,Have right.,Matthew Green,Tend us.,Jazz,1/5/2022,306,23,68096849,English
SP6645,Break century thank.,Stephen Knight,Much.,Electronic,5/2/2014,244,64,52866633,Korean
SP9294,Too.,Amy Miller,Edge fine.,Hip-Hop,13/11/2004,298,63,32776404,English
SP6984,Development painting.,Jonathan Yates,Blue.,Electronic,24/3/1998,243,19,33025900,Italian
SP8847,Serve side.,Abigail Terry,Event time.,Pop,15/2/2005,221,20,84496934,Italian
SP0875,Guess structure floor.,Lori Higgins,Else dinner.,Electronic,26/5/2005,201,47,83357188,English
SP0900,Grow picture final.,Adam Smith,Drive.,Hip-Hop,15/11/1996,217,86,91604661,English
SP1494,Seek state.,Justin Taylor DVM,Social.,Electronic,21/8/2021,284,79,39422562,English
SP7201,Not stay.,James Andersen,Than.,Pop,29/1/2003,215,92,43822515,English
SP0131,Life reveal expert.,Donald Vasquez,Everybody step.,Pop,8/7/2006,290,16,33906265,English
SP9238,Could list.,Sharon Nichols,Whose.,Pop,25/9/2018,212,87,72507975,English
SP8453,Want include.,Darryl Mcdowell,Instead minute.,Hip-Hop,28/8/2020,174,20,99914245,Spanish
SP6118,Itself spring month.,Rebekah Smith,Task remember.,Folk,10/5/2006,269,10,94109549,English
SP3270,With region eat.,Michael Barnes,Drug than.,Electronic,6/8/1999,210,49,1197686,English
SP7892,North writer meet.,Nicholas Curry,Edge.,Country,14/12/1997,308,12,10730964,Spanish
SP4406,Campaign care animal.,Christopher Lynch,Something American.,Country,4/7/2020,254,34,50523850,English
SP0508,Way expect.,Erica Ellis,Strong ask.,Hip-Hop,1/7/2019,172,92,75449153,English
SP4159,Whatever add.,Jonathan Valdez,Factor grow.,Electronic,5/8/2005,192,4,19113019,English
SP7394,Not despite issue grow.,Shari Cruz,Mother.,Pop,11/4/2006,291,41,68390394,English
SP2058,Learn lay either scientist.,Kathleen Maldonado,Girl many.,Reggae,9/5/2009,228,91,75266919,English
SP0071,Past determine college.,Robert Mills,Wind.,Electronic,3/12/2022,280,45,73461128,English
SP2290,Write each.,Heather Cole,Two project.,Electronic,17/7/2017,183,65,41216682,English
SP0853,Thank individual.,Kimberly Johnson,Here.,Electronic,27/10/2011,190,91,88562554,English
SP3744,Everybody behind.,Joseph Wright,Dinner.,Hip-Hop,9/12/2005,222,86,277498,English
SP6383,Fine almost.,Arthur Miller,Role citizen.,Hip-Hop,9/3/2023,305,63,29728520,Korean
